,source,target,specificity,weight,rank_count,rank_specificity
0,political scientist,linguist,1.7857142857142858,1,2.0,1.0
1,political scientist,philosopher,0.11428571428571427,1,1.0,2.0
2,philosopher,botanist,1.1571428571428568,1,1.0,1.0
3,philosopher,linguist,0.11428571428571427,1,2.0,2.0
4,philosopher,political scientist,0.11428571428571427,1,3.0,3.0
5,philosopher,economist,0.11428571428571427,1,4.0,4.0
6,philosopher,historian,0.11428571428571427,1,5.0,5.0
7,linguist,political scientist,1.7857142857142858,1,2.0,1.0
8,linguist,philosopher,0.11428571428571427,1,1.0,2.0
9,historian,economist,1.7857142857142858,1,2.0,1.0
10,historian,philosopher,0.11428571428571427,1,1.0,2.0
11,economist,historian,1.7857142857142858,1,2.0,1.0
12,economist,philosopher,0.11428571428571427,1,1.0,2.0
13,botanist,philosopher,1.1571428571428568,1,1.0,1.0
